player_id,name,position,bench_reps,broad_jump,cone,shuttle,forty_yd,vertical,draft_pick,draft_round,weight,height,dk_score,10_yd,position_label
CoatDa00,Daniel Coats,TE,34.0,111.0,7.07,4.43,4.94,30.0,0.0,0.0,257,75.0,24.2,UNK,3
CoatSa00,Sammie Coates,WR,23.0,131.0,6.98,4.06,4.43,41.0,87.0,3.0,212,73.0,2.1,UNK,5
CobbCe00,Cedric Cobbs,RB,0.0,123.0,0.0,0.0,4.75,40.0,128.0,4.0,223,72.0,5.0,UNK,2
CobbDa00,David Cobb,RB,17.0,121.0,0.0,0.0,4.59,38.5,138.0,5.0,229,71.0,21.4,UNK,2
CobbDe00,DeAndra Cobb,RB,17.0,118.0,7.13,4.25,4.49,34.0,201.0,6.0,196,70.0,0.0,UNK,2
CobbRa00,Randall Cobb,WR,16.0,115.0,7.08,4.34,4.46,33.5,64.0,2.0,191,70.0,81.0,UNK,5
CoboAv00,Avon Cobourne,RB,21.0,112.0,7.21,4.18,4.7,31.5,0.0,0.0,205,67.0,9.7,UNK,2
CoffGl00,Glen Coffee,RB,24.0,121.0,7.35,4.51,4.5,36.0,74.0,3.0,209,72.0,47.199999999999996,UNK,2
ColbKe00,Keary Colbert,WR,0.0,0.0,0.0,0.0,4.6,30.0,62.0,2.0,207,73.0,158.4,UNK,5
ColeCh00,Chris Cole,WR,0.0,125.0,6.76,4.09,4.37,37.5,70.0,3.0,191,72.0,0.0,UNK,5
ColeCh01,Chris Coleman,WR,0.0,110.0,6.79,4.1,4.61,32.5,0.0,0.0,211,72.0,0.0,UNK,5
ColeCo00,Corey Coleman,WR,17.0,129.0,0.0,0.0,4.42,40.5,15.0,1.0,194,71.0,96.30000000000001,UNK,5
ColeLa00,Laveranues Coles,WR,0.0,115.0,6.89,4.39,4.41,34.0,78.0,3.0,192,71.0,69.5,UNK,5
ColeTe01,Tevin Coleman,RB,22.0,0.0,0.0,0.0,4.4,0.0,73.0,3.0,206,71.0,51.6,UNK,2
CollAl00,Alex Collins,RB,18.0,113.0,0.0,0.0,4.59,28.5,171.0,5.0,217,70.0,37.9,UNK,2
CollAu00,Austin Collie,WR,17.0,120.0,6.78,4.24,4.53,34.0,127.0,4.0,200,73.0,169.70000000000002,UNK,5
CollJe00,Jerome Collins,TE,21.0,118.0,0.0,0.0,4.71,0.0,144.0,5.0,267,76.0,0.0,UNK,3
ColsMa00,Marques Colston,WR,16.0,123.0,6.94,4.43,4.5,37.0,252.0,7.0,224,77.0,233.8,UNK,5
ConlCh00,Chris Conley,WR,18.0,139.0,7.06,4.3,4.35,45.0,76.0,3.0,213,74.0,42.90000000000001,UNK,5
ConnJo00,John Conner,RB,24.0,111.0,7.15,4.32,4.64,35.0,139.0,5.0,246,71.0,13.3,UNK,2
CookBr00,Brandin Cooks,WR,16.0,120.0,6.76,3.81,4.33,36.0,20.0,1.0,189,70.0,139.3,UNK,5
CookCo00,Connor Cook,QB,0.0,113.0,7.21,4.28,4.79,33.0,100.0,4.0,217,76.0,9.0,UNK,1
CookJa02,Jared Cook,TE,23.0,123.0,0.0,0.0,4.49,41.0,89.0,3.0,246,77.0,16.400000000000002,UNK,3
CoolCh00,Chris Cooley,TE,22.0,115.0,7.21,4.19,4.87,33.0,81.0,3.0,265,75.0,104.4,UNK,3
CoopAm00,Amari Cooper,WR,0.0,120.0,6.71,3.98,4.42,33.0,4.0,1.0,211,73.0,229.7,UNK,5
CoopJo00,Josh Cooper,WR,11.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,190,71.0,18.6,UNK,5
CoopPh00,Pharoh Cooper,WR,15.0,115.0,0.0,0.0,4.52,31.0,117.0,4.0,203,71.0,23.6,UNK,5
CoopRi00,Riley Cooper,WR,0.0,114.0,0.0,0.0,4.53,33.0,159.0,5.0,222,75.0,24.6,UNK,5
CoppTe00,Terrance Copper,WR,0.0,116.0,7.34,4.31,4.53,35.5,0.0,0.0,208,72.0,21.3,UNK,5
